Country,Adults (thousand),Mean wealth per adult (USD),Median wealth per adult (USD),Distribution of adults (%) by wealth range (USD) (under 10_000),Distribution of adults (%) by wealth range (USD) (10_000 - 100_000),Distribution of adults (%) by wealth range (USD) (100_000 – 1 million),Distribution of adults (%) by wealth range (USD) (over 1 million),Distribution of adults (%) by wealth range (USD) (Total),Gini (%)
Sao Tome and Principe,98,3_654,1_545,94.3,5.5,0.2,0.0,100,67.4
Saudi Arabia,23_208,67_032,16_599,41.4,47.8,10.2,0.6,100,83.4
Senegal,7_763,4_265,1_632,92.6,7.2,0.2,0.0,100,72.6
Serbia,6_798,25_046,10_737,47.9,48.7,3.3,0.1,100,67.6
Seychelles,68,57_835,22_572,33.0,54.0,12.6,0.4,100,70.4
Sierra Leone,3_698,693,278,99.5,0.4,0.0,0.0,100,69.4
Singapore,4_637,297_873,96_967,14.0,36.6,44.9,4.5,100,75.7
Slovakia,4_340,66_171,40_432,0.0,83.2,16.6,0.2,100,49.8
Slovenia,1_675,122_508,50_380,4.5,66.0,28.6,0.9,100,66.2
Solomon Islands,321,12_933,5_260,71.0,27.6,1.4,0.0,100,70.0
South Africa,36_027,21_380,6_476,64.6,32.2,3.1,0.1,100,80.6
Spain,37_450,207_531,95_360,16.9,34.5,45.9,2.6,100,69.4
Sri Lanka,14_408,20_628,8_283,55.1,42.1,2.7,0.1,100,70.0
St. Lucia,133,36_586,13_418,43.0,51.4,5.3,0.3,100,72.8
St. Vincent and the Grenadines,75,20_088,5_508,68.0,29.0,2.8,0.2,100,81.8
Sudan,20_474,534,218,99.7,0.3,0.0,0.0,100,68.7
Suriname,373,6_089,1_562,90.2,9.1,0.7,0.0,100,83.2
Sweden,7_723,265_260,41_582,35.8,28.9,30.5,4.8,100,86.7
Switzerland,6_866,564_653,227_891,13.0,20.7,54.5,11.8,100,70.5
Syria,9_664,2_179,884,97.1,2.8,0.1,0.0,100,69.9
Taiwan (Chinese Taipei),19_296,210_525,70_191,15.4,43.5,38.3,2.7,100,75.1
Tajikistan,5_118,3_602,1_589,94.8,5.1,0.2,0.0,100,65.6
Tanzania,26_837,3_069,1_282,95.7,4.1,0.1,0.0,100,66.1
Thailand,53_073,21_854,3_726,71.1,26.6,2.2,0.2,100,84.6
Timor-Leste,602,5_143,2_453,91.6,8.1,0.2,0.0,100,56.5
Togo,3_909,1_241,469,98.7,1.3,0.0,0.0,100,73.4
Tonga,59,47_889,19_709,33.0,57.8,8.9,0.3,100,68.2
Trinidad and Tobago,1_006,41_094,14_888,41.0,52.2,6.5,0.3,100,73.2
Tunisia,8_111,13_853,5_395,68.6,30.0,1.4,0.0,100,70.5
Turkey,55_543,24_398,6_568,62.3,34.8,2.7,0.2,100,79.4
Turkmenistan,3_607,15_691,6_974,60.3,38.3,1.4,0.0,100,63.0
Uganda,18_650,1_603,612,98.1,1.9,0.1,0.0,100,72.9
Ukraine,34_998,8_792,1_223,88.8,10.4,0.8,0.1,100,84.7
United Arab Emirates,7_874,117_060,35_315,32.5,44.8,21.2,1.6,100,79.6
United Kingdom,51_209,280_049,97_452,17.4,33.0,44.8,4.8,100,74.6
United States,245_140,432_365,65_904,26.9,31.0,34.5,7.6,100,85.2
Uruguay,2_501,30_320,11_084,47.7,48.2,4.0,0.2,100,72.1
Vanuatu,157,15_090,6_098,64.0,34.4,1.5,0.1,100,68.8
Venezuela,20_912,1,0,100.0,0.0,0.0,0.0,100,74.3
Vietnam,68_085,11_712,3_679,78.0,20.8,1.1,0.1,100,76.1
World,5_089_766,70_849,7_087,56.6,32.6,9.8,0.9,100,88.5
Yemen,14_580,4_926,1_467,93.3,6.3,0.5,0.0,100,79.8
Zambia,7_926,2_565,784,95.7,4.1,0.2,0.0,100,79.8
Zimbabwe,8_340,4_734,1_843,90.8,8.9,0.3,0.0,100,71.9
