State,Measure,Sector,Year,Pivot Field Names,Value
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,2005,"Electric power, (million metric tons)",3.3
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,2005,"Industrial, (million metric tons)",22.1
Alaska,Carbon Dioxide emissions (million metric tons),Residential,2005,"Residential, (million metric tons)",1.8
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,2005,"Transportation, (million metric tons)",18.7
Alaska,Carbon Dioxide emissions (million metric tons),Total,2010,"Total, (million metric tons)",38.8
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,2010,"Commercial, (million metric tons)",2.6
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,2010,"Electric power, (million metric tons)",3
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,2010,"Industrial, (million metric tons)",16.6
Alaska,Carbon Dioxide emissions (million metric tons),Residential,2010,"Residential, (million metric tons)",1.7
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,2010,"Transportation, (million metric tons)",14.9
Alaska,Carbon Dioxide emissions (million metric tons),Total,2011,"Total, (million metric tons)",38.7
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,2011,"Commercial, (million metric tons)",2.8
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,2011,"Electric power, (million metric tons)",3.2
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,2011,"Industrial, (million metric tons)",16.8
Alaska,Carbon Dioxide emissions (million metric tons),Residential,2011,"Residential, (million metric tons)",1.7
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,2011,"Transportation, (million metric tons)",14.2
Alaska,Carbon Dioxide emissions (million metric tons),Total,2012,"Total, (million metric tons)",38
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,2012,"Commercial, (million metric tons)",2.6
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,2012,"Electric power, (million metric tons)",3.1
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,2012,"Industrial, (million metric tons)",17.2
Alaska,Carbon Dioxide emissions (million metric tons),Residential,2012,"Residential, (million metric tons)",1.8
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,2012,"Transportation, (million metric tons)",13.3
Alaska,Carbon Dioxide emissions (million metric tons),Total,2013,"Total, (million metric tons)",36
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,2013,"Commercial, (million metric tons)",2.4
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,2013,"Electric power, (million metric tons)",2.6
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,2013,"Industrial, (million metric tons)",17.1
Alaska,Carbon Dioxide emissions (million metric tons),Residential,2013,"Residential, (million metric tons)",1.6
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,2013,"Transportation, (million metric tons)",12.3
Alaska,Carbon Dioxide emissions (million metric tons),Total,2014,"Total, (million metric tons)",35.2
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,2014,"Commercial, (million metric tons)",2.3
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,2014,"Electric power, (million metric tons)",2.9
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,2014,"Industrial, (million metric tons)",16.8
Alaska,Carbon Dioxide emissions (million metric tons),Residential,2014,"Residential, (million metric tons)",1.5
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,2014,"Transportation, (million metric tons)",11.7
Alaska,Carbon Dioxide emissions (million metric tons),Total,2015,"Total, (million metric tons)",36.2
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,2015,"Commercial, (million metric tons)",2.6
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,2015,"Electric power, (million metric tons)",3
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,2015,"Industrial, (million metric tons)",16.8
Alaska,Carbon Dioxide emissions (million metric tons),Residential,2015,"Residential, (million metric tons)",1.6
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,2015,"Transportation, (million metric tons)",12.2
Alaska,Carbon Dioxide emissions (million metric tons),Total,2016,"Total, (million metric tons)",34.7
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,2016,"Commercial, (million metric tons)",2
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,2016,"Electric power, (million metric tons)",2.8
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,2016,"Industrial, (million metric tons)",16.6
Alaska,Carbon Dioxide emissions (million metric tons),Residential,2016,"Residential, (million metric tons)",1.5
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,2016,"Transportation, (million metric tons)",11.8
Alaska,Carbon Dioxide emissions (million metric tons),Total,2017,"Total, (million metric tons)",34.3
Alaska,Carbon Dioxide emissions (million metric tons),Commercial,2017,"Commercial, (million metric tons)",2
Alaska,Carbon Dioxide emissions (million metric tons),Electric power,2017,"Electric power, (million metric tons)",2.4
Alaska,Carbon Dioxide emissions (million metric tons),Industrial,2017,"Industrial, (million metric tons)",16.6
Alaska,Carbon Dioxide emissions (million metric tons),Residential,2017,"Residential, (million metric tons)",1.7
Alaska,Carbon Dioxide emissions (million metric tons),Transportation,2017,"Transportation, (million metric tons)",11.6
Arizona,Carbon Dioxide emissions (million metric tons),Total,1980,"Total, (million metric tons)",52.3
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,1980,"Commercial, (million metric tons)",1.8
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,1980,"Electric power, (million metric tons)",25.3
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,1980,"Industrial, (million metric tons)",4.9
Arizona,Carbon Dioxide emissions (million metric tons),Residential,1980,"Residential, (million metric tons)",1.8
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,1980,"Transportation, (million metric tons)",18.5
Arizona,Carbon Dioxide emissions (million metric tons),Total,1985,"Total, (million metric tons)",60.4
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,1985,"Commercial, (million metric tons)",1.7
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,1985,"Electric power, (million metric tons)",31
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,1985,"Industrial, (million metric tons)",5.4
Arizona,Carbon Dioxide emissions (million metric tons),Residential,1985,"Residential, (million metric tons)",1.8
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,1985,"Transportation, (million metric tons)",20.5
Arizona,Carbon Dioxide emissions (million metric tons),Total,1990,"Total, (million metric tons)",62.8
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,1990,"Commercial, (million metric tons)",1.9
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,1990,"Electric power, (million metric tons)",32.8
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,1990,"Industrial, (million metric tons)",3.6
Arizona,Carbon Dioxide emissions (million metric tons),Residential,1990,"Residential, (million metric tons)",1.8
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,1990,"Transportation, (million metric tons)",22.7
Arizona,Carbon Dioxide emissions (million metric tons),Total,1995,"Total, (million metric tons)",66.5
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,1995,"Commercial, (million metric tons)",1.8
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,1995,"Electric power, (million metric tons)",32.6
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,1995,"Industrial, (million metric tons)",4.4
Arizona,Carbon Dioxide emissions (million metric tons),Residential,1995,"Residential, (million metric tons)",1.7
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,1995,"Transportation, (million metric tons)",26
Arizona,Carbon Dioxide emissions (million metric tons),Total,2000,"Total, (million metric tons)",85.9
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,2000,"Commercial, (million metric tons)",2.2
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,2000,"Electric power, (million metric tons)",45.1
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,2000,"Industrial, (million metric tons)",4.3
Arizona,Carbon Dioxide emissions (million metric tons),Residential,2000,"Residential, (million metric tons)",2.1
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,2000,"Transportation, (million metric tons)",32.2
Arizona,Carbon Dioxide emissions (million metric tons),Total,2005,"Total, (million metric tons)",96.5
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,2005,"Commercial, (million metric tons)",2
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,2005,"Electric power, (million metric tons)",51.3
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,2005,"Industrial, (million metric tons)",4.4
Arizona,Carbon Dioxide emissions (million metric tons),Residential,2005,"Residential, (million metric tons)",2.1
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,2005,"Transportation, (million metric tons)",36.7
Arizona,Carbon Dioxide emissions (million metric tons),Total,2010,"Total, (million metric tons)",95.3
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,2010,"Commercial, (million metric tons)",2.4
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,2010,"Electric power, (million metric tons)",54.9
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,2010,"Industrial, (million metric tons)",4.2
Arizona,Carbon Dioxide emissions (million metric tons),Residential,2010,"Residential, (million metric tons)",2.3
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,2010,"Transportation, (million metric tons)",31.5
Arizona,Carbon Dioxide emissions (million metric tons),Total,2011,"Total, (million metric tons)",93.3
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,2011,"Commercial, (million metric tons)",2.4
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,2011,"Electric power, (million metric tons)",52.8
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,2011,"Industrial, (million metric tons)",4.5
Arizona,Carbon Dioxide emissions (million metric tons),Residential,2011,"Residential, (million metric tons)",2.4
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,2011,"Transportation, (million metric tons)",31.2
Arizona,Carbon Dioxide emissions (million metric tons),Total,2012,"Total, (million metric tons)",91.3
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,2012,"Commercial, (million metric tons)",2.3
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,2012,"Electric power, (million metric tons)",51.8
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,2012,"Industrial, (million metric tons)",4.4
Arizona,Carbon Dioxide emissions (million metric tons),Residential,2012,"Residential, (million metric tons)",2.1
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,2012,"Transportation, (million metric tons)",30.7
Arizona,Carbon Dioxide emissions (million metric tons),Total,2013,"Total, (million metric tons)",95.1
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,2013,"Commercial, (million metric tons)",2.4
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,2013,"Electric power, (million metric tons)",55.2
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,2013,"Industrial, (million metric tons)",4
Arizona,Carbon Dioxide emissions (million metric tons),Residential,2013,"Residential, (million metric tons)",2.4
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,2013,"Transportation, (million metric tons)",31.1
Arizona,Carbon Dioxide emissions (million metric tons),Total,2014,"Total, (million metric tons)",93.1
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,2014,"Commercial, (million metric tons)",2.2
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,2014,"Electric power, (million metric tons)",53.6
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,2014,"Industrial, (million metric tons)",4
Arizona,Carbon Dioxide emissions (million metric tons),Residential,2014,"Residential, (million metric tons)",2
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,2014,"Transportation, (million metric tons)",31.3
Arizona,Carbon Dioxide emissions (million metric tons),Total,2015,"Total, (million metric tons)",90.9
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,2015,"Commercial, (million metric tons)",2.9
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,2015,"Electric power, (million metric tons)",50.1
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,2015,"Industrial, (million metric tons)",3.9
Arizona,Carbon Dioxide emissions (million metric tons),Residential,2015,"Residential, (million metric tons)",2.1
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,2015,"Transportation, (million metric tons)",31.9
Arizona,Carbon Dioxide emissions (million metric tons),Total,2016,"Total, (million metric tons)",86.9
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,2016,"Commercial, (million metric tons)",3
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,2016,"Electric power, (million metric tons)",44.6
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,2016,"Industrial, (million metric tons)",4.1
Arizona,Carbon Dioxide emissions (million metric tons),Residential,2016,"Residential, (million metric tons)",2.2
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,2016,"Transportation, (million metric tons)",33
Arizona,Carbon Dioxide emissions (million metric tons),Total,2017,"Total, (million metric tons)",86.2
Arizona,Carbon Dioxide emissions (million metric tons),Commercial,2017,"Commercial, (million metric tons)",2.9
Arizona,Carbon Dioxide emissions (million metric tons),Electric power,2017,"Electric power, (million metric tons)",43.8
Arizona,Carbon Dioxide emissions (million metric tons),Industrial,2017,"Industrial, (million metric tons)",4.4
Arizona,Carbon Dioxide emissions (million metric tons),Residential,2017,"Residential, (million metric tons)",2.1
Arizona,Carbon Dioxide emissions (million metric tons),Transportation,2017,"Transportation, (million metric tons)",33
Arkansas,Carbon Dioxide emissions (million metric tons),Total,1980,"Total, (million metric tons)",37.4
Arkansas,Carbon Dioxide emissions (million metric tons),Commercial,1980,"Commercial, (million metric tons)",2.1
Arkansas,Carbon Dioxide emissions (million metric tons),Electric power,1980,"Electric power, (million metric tons)",7.6
Arkansas,Carbon Dioxide emissions (million metric tons),Industrial,1980,"Industrial, (million metric tons)",10.4
Arkansas,Carbon Dioxide emissions (million metric tons),Residential,1980,"Residential, (million metric tons)",3
Arkansas,Carbon Dioxide emissions (million metric tons),Transportation,1980,"Transportation, (million metric tons)",14.3
Arkansas,Carbon Dioxide emissions (million metric tons),Total,1985,"Total, (million metric tons)",49.2
Arkansas,Carbon Dioxide emissions (million metric tons),Commercial,1985,"Commercial, (million metric tons)",2
Arkansas,Carbon Dioxide emissions (million metric tons),Electric power,1985,"Electric power, (million metric tons)",20.6
Arkansas,Carbon Dioxide emissions (million metric tons),Industrial,1985,"Industrial, (million metric tons)",9.6
Arkansas,Carbon Dioxide emissions (million metric tons),Residential,1985,"Residential, (million metric tons)",2.7
Arkansas,Carbon Dioxide emissions (million metric tons),Transportation,1985,"Transportation, (million metric tons)",14.3
Arkansas,Carbon Dioxide emissions (million metric tons),Total,1990,"Total, (million metric tons)",50.9
Arkansas,Carbon Dioxide emissions (million metric tons),Commercial,1990,"Commercial, (million metric tons)",1.6
Arkansas,Carbon Dioxide emissions (million metric tons),Electric power,1990,"Electric power, (million metric tons)",21.5
Arkansas,Carbon Dioxide emissions (million metric tons),Industrial,1990,"Industrial, (million metric tons)",9.3
Arkansas,Carbon Dioxide emissions (million metric tons),Residential,1990,"Residential, (million metric tons)",2.5
Arkansas,Carbon Dioxide emissions (million metric tons),Transportation,1990,"Transportation, (million metric tons)",16
Arkansas,Carbon Dioxide emissions (million metric tons),Total,1995,"Total, (million metric tons)",57.7
Arkansas,Carbon Dioxide emissions (million metric tons),Commercial,1995,"Commercial, (million metric tons)",1.8
Arkansas,Carbon Dioxide emissions (million metric tons),Electric power,1995,"Electric power, (million metric tons)",23.6
Arkansas,Carbon Dioxide emissions (million metric tons),Industrial,1995,"Industrial, (million metric tons)",11.3
Arkansas,Carbon Dioxide emissions (million metric tons),Residential,1995,"Residential, (million metric tons)",2.7
Arkansas,Carbon Dioxide emissions (million metric tons),Transportation,1995,"Transportation, (million metric tons)",18.3
Arkansas,Carbon Dioxide emissions (million metric tons),Total,2000,"Total, (million metric tons)",63.4
Arkansas,Carbon Dioxide emissions (million metric tons),Commercial,2000,"Commercial, (million metric tons)",2.1
Arkansas,Carbon Dioxide emissions (million metric tons),Electric power,2000,"Electric power, (million metric tons)",26.6
Arkansas,Carbon Dioxide emissions (million metric tons),Industrial,2000,"Industrial, (million metric tons)",11
Arkansas,Carbon Dioxide emissions (million metric tons),Residential,2000,"Residential, (million metric tons)",2.9
Arkansas,Carbon Dioxide emissions (million metric tons),Transportation,2000,"Transportation, (million metric tons)",20.8
Arkansas,Carbon Dioxide emissions (million metric tons),Total,2005,"Total, (million metric tons)",60
Arkansas,Carbon Dioxide emissions (million metric tons),Commercial,2005,"Commercial, (million metric tons)",2.1
Arkansas,Carbon Dioxide emissions (million metric tons),Electric power,2005,"Electric power, (million metric tons)",25.6
